SiteID,2088871,Site Timezone,-6,Data Timezone,0,Longitude,-100.302795,Latitude,52.370647
Year,Month,Day,Hour,Minute,wind speed at 10m (m/s),wind direction at 10m (deg)
2020,1,1,0,0,3.67,159.5
2020,1,1,1,0,3.8000000000000003,160.82
2020,1,1,2,0,3.52,161.77
2020,1,1,3,0,3.18,160.91
2020,1,1,4,0,3.24,156.27
2020,1,1,5,0,3.06,160.8
2020,1,1,6,0,2.84,160.16
2020,1,1,7,0,2.8000000000000003,148.94
2020,1,1,8,0,2.65,159.82
2020,1,1,9,0,2.87,149.34
2020,1,1,10,0,3.25,142.99
2020,1,1,11,0,2.82,149.31
2020,1,1,12,0,2.42,145.1
2020,1,1,13,0,2.57,131.49
2020,1,1,14,0,2.49,126.26
2020,1,1,15,0,2.18,116.54
2020,1,1,16,0,2,128.39000000000001
2020,1,1,17,0,0.5,159.42000000000002
2020,1,1,18,0,2.95,339.23
2020,1,1,19,0,2.56,325.53000000000003
2020,1,1,20,0,2.17,334.51
2020,1,1,21,0,1.84,336.40000000000003
2020,1,1,22,0,4.16,333.71
2020,1,1,23,0,4.89,329.90000000000003
2020,1,2,0,0,5.53,326.2
2020,1,2,1,0,5.21,324.11
2020,1,2,2,0,5.99,332.03000000000003
2020,1,2,3,0,5.38,336.90000000000003
2020,1,2,4,0,5.49,341.12
2020,1,2,5,0,5.3,340.41
2020,1,2,6,0,4.7,339.13
2020,1,2,7,0,5.24,333.73
2020,1,2,8,0,4.8,339.90000000000003
2020,1,2,9,0,3.8200000000000003,339.98
2020,1,2,10,0,3.79,333.82
2020,1,2,11,0,4.08,339.45
2020,1,2,12,0,3.52,339.8
2020,1,2,13,0,3.75,343.72
2020,1,2,14,0,5.2700000000000005,354.97
2020,1,2,15,0,4.3100000000000005,354.75
2020,1,2,16,0,3.3000000000000003,353.57
2020,1,2,17,0,3.44,356.83
2020,1,2,18,0,2.5300000000000002,349.97
2020,1,2,19,0,1.53,333.42
2020,1,2,20,0,1.18,344.24
2020,1,2,21,0,0.25,322.3
2020,1,2,22,0,0.91,266.14
2020,1,2,23,0,0.81,286.56
2020,1,3,0,0,0.7000000000000001,136.99
2020,1,3,1,0,0.92,148.6
2020,1,3,2,0,1.6,153.48
2020,1,3,3,0,1.54,140.96
2020,1,3,4,0,2.86,165.59
2020,1,3,5,0,1.93,155.38
2020,1,3,6,0,1.6,122.92
2020,1,3,7,0,1.83,112.55
2020,1,3,8,0,1.21,98.55
2020,1,3,9,0,0.96,125.47
2020,1,3,10,0,0.72,112.15
2020,1,3,11,0,0.61,0.6900000000000001
2020,1,3,12,0,1.02,210.83
2020,1,3,13,0,0.44,0.58
2020,1,3,14,0,0.5,325.5
2020,1,3,15,0,0.84,3.81
2020,1,3,16,0,1.73,287.33
2020,1,3,17,0,4.28,312.68
2020,1,3,18,0,4.22,330.09000000000003
2020,1,3,19,0,4.25,333.09000000000003
2020,1,3,20,0,4.55,336.81
2020,1,3,21,0,4.25,342.73
2020,1,3,22,0,5.1000000000000005,357.5
2020,1,3,23,0,6.72,2.88
2020,1,4,0,0,5.74,352.85
2020,1,4,1,0,5.05,341.59000000000003
2020,1,4,2,0,4,358.81
2020,1,4,3,0,2.89,334.04
2020,1,4,4,0,2.44,331.92
2020,1,4,5,0,2.39,331.48
2020,1,4,6,0,1.8,316.13
2020,1,4,7,0,1.1,300.99
2020,1,4,8,0,0.89,115.51
2020,1,4,9,0,2.35,109.69
2020,1,4,10,0,2.93,112.5
2020,1,4,11,0,3.4,129.54
2020,1,4,12,0,3.44,128.81
2020,1,4,13,0,3.73,130.94
2020,1,4,14,0,4.18,133.22
2020,1,4,15,0,4.51,141.5
2020,1,4,16,0,5.01,134.88
2020,1,4,17,0,5.13,138.06
2020,1,4,18,0,5.36,138.79
2020,1,4,19,0,6.07,138.28
2020,1,4,20,0,5.91,141.38
2020,1,4,21,0,6.16,139.91
2020,1,4,22,0,6.48,140.42000000000002
2020,1,4,23,0,6.5600000000000005,139.68
2020,1,5,0,0,6.7,144.35
2020,1,5,1,0,6.6000000000000005,143.20000000000002
2020,1,5,2,0,6.3,143.85
2020,1,5,3,0,5.91,143.17000000000002
2020,1,5,4,0,5.48,146.28
2020,1,5,5,0,5.87,139.83
2020,1,5,6,0,4.64,143.27
2020,1,5,7,0,3.44,127.17
2020,1,5,8,0,4.46,318.91
2020,1,5,9,0,7.8100000000000005,291.86
2020,1,5,10,0,13.290000000000001,301.12
2020,1,5,11,0,14.69,309.74
2020,1,5,12,0,14.8,307.6
2020,1,5,13,0,14.02,315.21
2020,1,5,14,0,13.16,317.83
2020,1,5,15,0,12.3,318.18
2020,1,5,16,0,10.15,319.57
2020,1,5,17,0,7.97,318.31
2020,1,5,18,0,9.05,298.24
2020,1,5,19,0,8.17,302.25
2020,1,5,20,0,8.03,307.56
2020,1,5,21,0,6.22,312.64
2020,1,5,22,0,6.98,314.12
2020,1,5,23,0,6.92,319.17
2020,1,6,0,0,5.76,327.7
2020,1,6,1,0,6.46,322.58
2020,1,6,2,0,3.21,297.15000000000003
2020,1,6,3,0,2.64,281.92
2020,1,6,4,0,4.63,285.35
2020,1,6,5,0,3.42,273.19
2020,1,6,6,0,2.37,278.36
2020,1,6,7,0,2.1,299.72
2020,1,6,8,0,2.89,160.22
2020,1,6,9,0,3.88,165.09
2020,1,6,10,0,4.3100000000000005,172.73
2020,1,6,11,0,5.08,171.11
2020,1,6,12,0,4.66,170.69
2020,1,6,13,0,3.87,160.53
2020,1,6,14,0,2.1,145.17000000000002
2020,1,6,15,0,2.7600000000000002,192.87
2020,1,6,16,0,3.35,213.04
2020,1,6,17,0,4.09,258.91
2020,1,6,18,0,4.79,288.49
2020,1,6,19,0,5.01,296
2020,1,6,20,0,2.95,298.25
2020,1,6,21,0,3.44,298.7
2020,1,6,22,0,4.51,314.21
2020,1,6,23,0,6.23,336.41
2020,1,7,0,0,9.09,334
2020,1,7,1,0,12.43,326.71
2020,1,7,2,0,15.18,317.49
2020,1,7,3,0,15.94,307.53000000000003
2020,1,7,4,0,16.07,309.21
2020,1,7,5,0,15.16,314.08
2020,1,7,6,0,15.13,320.96
2020,1,7,7,0,14.21,317.76
2020,1,7,8,0,13.280000000000001,316.56
2020,1,7,9,0,12.39,316.87
2020,1,7,10,0,12.39,314.97
2020,1,7,11,0,12.58,313.75
